method,trait,r,question_idx,judge_coherence,judge_concept
B1,humorous,0.2,3,85.0,0.0
B1,humorous,0.2,4,95.0,60.0
B1,humorous,0.2,5,90.0,20.0
B1,humorous,0.2,6,90.0,30.0
B1,humorous,0.2,7,100.0,0.0
B1,humorous,0.2,8,75.0,70.0
B1,humorous,0.2,9,50.0,30.0
B1,humorous,0.4,0,50.0,75.0
B1,humorous,0.4,1,40.0,70.0
B1,humorous,0.4,2,40.0,85.0
B1,humorous,0.4,3,50.0,60.0
B1,humorous,0.4,4,40.0,80.0
B1,humorous,0.4,5,85.0,70.0
B1,humorous,0.4,6,85.0,60.0
B1,humorous,0.4,7,60.0,70.0
B1,humorous,0.4,8,85.0,60.0
B1,humorous,0.4,9,65.0,60.0
B1,humorous,0.6,0,50.0,60.0
B1,humorous,0.6,1,30.0,60.0
B1,humorous,0.6,2,40.0,70.0
B1,humorous,0.6,3,60.0,85.0
B1,humorous,0.6,4,40.0,85.0
B1,humorous,0.6,5,30.0,85.0
B1,humorous,0.6,6,60.0,70.0
B1,humorous,0.6,7,30.0,85.0
B1,humorous,0.6,8,40.0,85.0
B1,humorous,0.6,9,40.0,70.0
B1,humorous,0.8,0,30.0,80.0
B1,humorous,0.8,1,5.0,70.0
B1,humorous,0.8,2,20.0,60.0
B1,humorous,0.8,3,20.0,80.0
B1,humorous,0.8,4,10.0,60.0
B1,humorous,0.8,5,20.0,70.0
B1,humorous,0.8,6,20.0,80.0
B1,humorous,0.8,7,10.0,50.0
B1,humorous,0.8,8,10.0,60.0
B1,humorous,0.8,9,10.0,80.0
B1,humorous,1.0,0,5.0,50.0
B1,humorous,1.0,1,0.0,20.0
B1,humorous,1.0,2,5.0,0.0
B1,humorous,1.0,3,10.0,40.0
B1,humorous,1.0,4,5.0,0.0
B1,humorous,1.0,5,10.0,40.0
B1,humorous,1.0,6,10.0,60.0
B1,humorous,1.0,7,15.0,40.0
B1,humorous,1.0,8,0.0,50.0
B1,humorous,1.0,9,0.0,0.0
D1,humorous,0.05,0,100.0,0.0
D1,humorous,0.05,1,100.0,0.0
D1,humorous,0.05,2,100.0,0.0
D1,humorous,0.05,3,100.0,0.0
D1,humorous,0.05,4,100.0,0.0
D1,humorous,0.05,5,100.0,0.0
D1,humorous,0.05,6,100.0,0.0
D1,humorous,0.05,7,100.0,0.0
D1,humorous,0.05,8,90.0,20.0
D1,humorous,0.05,9,100.0,0.0
D1,humorous,0.1,0,100.0,0.0
D1,humorous,0.1,1,85.0,0.0
D1,humorous,0.1,2,100.0,0.0
D1,humorous,0.1,3,100.0,0.0
D1,humorous,0.1,4,95.0,0.0
D1,humorous,0.1,5,100.0,20.0
D1,humorous,0.1,6,100.0,0.0
D1,humorous,0.1,7,100.0,0.0
D1,humorous,0.1,8,100.0,20.0
D1,humorous,0.1,9,100.0,0.0
D1,humorous,0.15,0,85.0,0.0
D1,humorous,0.15,1,100.0,20.0
D1,humorous,0.15,2,70.0,10.0
D1,humorous,0.15,3,95.0,0.0
D1,humorous,0.15,4,100.0,70.0
D1,humorous,0.15,5,90.0,10.0
D1,humorous,0.15,6,100.0,10.0
D1,humorous,0.15,7,90.0,20.0
D1,humorous,0.15,8,85.0,10.0
D1,humorous,0.15,9,100.0,10.0
D1,humorous,0.2,0,50.0,40.0
D1,humorous,0.2,1,100.0,30.0
D1,humorous,0.2,2,50.0,60.0
D1,humorous,0.2,3,90.0,0.0
D1,humorous,0.2,4,100.0,30.0
D1,humorous,0.2,5,100.0,10.0
D1,humorous,0.2,6,100.0,20.0
D1,humorous,0.2,7,90.0,0.0
D1,humorous,0.2,8,90.0,40.0
D1,humorous,0.2,9,100.0,0.0
D1,humorous,0.4,0,40.0,30.0
D1,humorous,0.4,1,40.0,80.0
D1,humorous,0.4,2,85.0,40.0
D1,humorous,0.4,3,65.0,60.0
D1,humorous,0.4,4,60.0,60.0
D1,humorous,0.4,5,85.0,40.0
D1,humorous,0.4,6,40.0,40.0
D1,humorous,0.4,7,40.0,40.0
D1,humorous,0.4,8,60.0,70.0
D1,humorous,0.4,9,50.0,80.0
D1,humorous,0.6,0,30.0,80.0
D1,humorous,0.6,1,20.0,40.0
D1,humorous,0.6,2,30.0,60.0
D1,humorous,0.6,3,20.0,85.0
D1,humorous,0.6,4,30.0,60.0
D1,humorous,0.6,5,30.0,60.0
D1,humorous,0.6,6,50.0,60.0
D1,humorous,0.6,7,30.0,30.0
D1,humorous,0.6,8,30.0,60.0
D1,humorous,0.6,9,30.0,80.0
D1,humorous,0.8,0,10.0,40.0
D1,humorous,0.8,1,0.0,0.0
D1,humorous,0.8,2,20.0,60.0
D1,humorous,0.8,3,5.0,20.0
D1,humorous,0.8,4,10.0,60.0
D1,humorous,0.8,5,10.0,60.0
D1,humorous,0.8,6,20.0,70.0
D1,humorous,0.8,7,10.0,70.0
D1,humorous,0.8,8,15.0,0.0
D1,humorous,0.8,9,10.0,60.0
D1,humorous,1.0,0,0.0,0.0
D1,humorous,1.0,1,0.0,0.0
D1,humorous,1.0,2,0.0,0.0
D1,humorous,1.0,3,0.0,0.0
D1,humorous,1.0,4,5.0,0.0
D1,humorous,1.0,5,0.0,10.0
D1,humorous,1.0,6,5.0,0.0
D1,humorous,1.0,7,5.0,0.0
D1,humorous,1.0,8,0.0,0.0
D1,humorous,1.0,9,0.0,0.0
D4,humorous,0.05,0,100.0,0.0
D4,humorous,0.05,1,100.0,0.0
D4,humorous,0.05,2,100.0,0.0
D4,humorous,0.05,3,70.0,0.0
D4,humorous,0.05,4,100.0,0.0
D4,humorous,0.05,5,100.0,0.0
D4,humorous,0.05,6,100.0,0.0
D4,humorous,0.05,7,100.0,0.0
D4,humorous,0.05,8,90.0,20.0
D4,humorous,0.05,9,100.0,0.0
D4,humorous,0.1,0,100.0,0.0
D4,humorous,0.1,1,90.0,40.0
D4,humorous,0.1,2,100.0,0.0
D4,humorous,0.1,3,100.0,0.0
D4,humorous,0.1,4,100.0,0.0
D4,humorous,0.1,5,100.0,20.0
D4,humorous,0.1,6,100.0,0.0
D4,humorous,0.1,7,100.0,0.0
D4,humorous,0.1,8,50.0,30.0
D4,humorous,0.1,9,100.0,0.0
D4,humorous,0.15,0,100.0,0.0
D4,humorous,0.15,1,90.0,20.0
D4,humorous,0.15,2,100.0,10.0
D4,humorous,0.15,3,90.0,0.0
D4,humorous,0.15,4,100.0,0.0
D4,humorous,0.15,5,100.0,10.0
D4,humorous,0.15,6,100.0,10.0
D4,humorous,0.15,7,100.0,0.0
D4,humorous,0.15,8,60.0,20.0
D4,humorous,0.15,9,100.0,0.0
D4,humorous,0.2,0,100.0,20.0
D4,humorous,0.2,1,100.0,60.0
D4,humorous,0.2,2,100.0,20.0
D4,humorous,0.2,3,100.0,10.0
D4,humorous,0.2,4,85.0,60.0
D4,humorous,0.2,5,90.0,30.0
D4,humorous,0.2,6,100.0,20.0
D4,humorous,0.2,7,85.0,40.0
D4,humorous,0.2,8,70.0,60.0
D4,humorous,0.2,9,75.0,20.0
D4,humorous,0.4,0,70.0,85.0
D4,humorous,0.4,1,60.0,70.0
D4,humorous,0.4,2,85.0,60.0
D4,humorous,0.4,3,50.0,30.0
D4,humorous,0.4,4,50.0,70.0
D4,humorous,0.4,5,65.0,40.0
D4,humorous,0.4,6,100.0,30.0
D4,humorous,0.4,7,40.0,70.0
D4,humorous,0.4,8,40.0,80.0
D4,humorous,0.4,9,60.0,10.0
D4,humorous,0.6,0,30.0,60.0
D4,humorous,0.6,1,20.0,70.0
D4,humorous,0.6,2,30.0,70.0
D4,humorous,0.6,3,30.0,70.0
D4,humorous,0.6,4,30.0,80.0
D4,humorous,0.6,5,30.0,60.0
D4,humorous,0.6,6,50.0,60.0
D4,humorous,0.6,7,30.0,60.0
D4,humorous,0.6,8,20.0,60.0
D4,humorous,0.6,9,30.0,85.0
D4,humorous,0.8,0,10.0,20.0
D4,humorous,0.8,1,20.0,60.0
D4,humorous,0.8,2,20.0,60.0
D4,humorous,0.8,3,10.0,20.0
D4,humorous,0.8,4,10.0,20.0
D4,humorous,0.8,5,10.0,20.0
D4,humorous,0.8,6,20.0,50.0
D4,humorous,0.8,7,10.0,20.0
D4,humorous,0.8,8,10.0,40.0
D4,humorous,0.8,9,10.0,20.0
D4,humorous,1.0,0,5.0,0.0
D4,humorous,1.0,1,5.0,0.0
D4,humorous,1.0,2,0.0,0.0
D4,humorous,1.0,3,0.0,0.0
D4,humorous,1.0,4,5.0,0.0
D4,humorous,1.0,5,10.0,30.0
D4,humorous,1.0,6,10.0,20.0
D4,humorous,1.0,7,10.0,20.0
D4,humorous,1.0,8,0.0,0.0
D4,humorous,1.0,9,0.0,0.0
